date of birth;age;sex;account;id;issued;active;payroll;segment
15.04.1941;75;Female;Long life deposit;01-0102-D-77756960;0;0;0;Retired
27.02.1939;78;Male;Long life deposit;01-0102-D-77716437;1;1;0;Retired
29.08.1939;77;Male;Long life deposit;01-0102-D-77711698;1;1;0;Retired
12.10.1947;69;Female;Long life deposit;01-0102-D-77749528;0;0;0;Retired
23.12.1936;80;Female;Long life deposit;01-0102-D-77725513;0;0;0;Retired
09.04.1949;67;Female;Long life deposit;01-0102-D-77748975;0;0;0;Retired
01.01.1954;63;Female;Long life deposit;01-0102-D-77744382;0;0;0;Retired
05.12.1928;88;Female;Long life deposit;01-0102-D-77778033;0;0;0;Retired
04.03.1980;36;Female;Long life deposit;01-0102-D-77709845;0;0;0;Workers
08.09.1949;67;Male;Long life deposit;01-0102-D-77711705;0;0;0;Retired
05.01.1937;80;Female;Long life deposit;01-0102-D-77741543;0;0;0;Retired
25.12.1956;60;Male;Long life deposit;01-0165-D-77785523;0;0;0;Retired
17.08.1965;51;Male;Long life deposit;01-0102-D-77708691;0;0;0;Workers
15.02.1950;67;Male;Long life deposit;01-0102-D-77711232;1;0;0;Retired
13.12.1955;61;Female;Long life deposit;01-0102-D-77718537;0;0;0;Retired
18.01.1960;57;Female;Long life deposit;01-0102-D-77745438;0;0;0;Retired
06.10.1946;70;Female;Long life deposit;01-0102-D-77749671;1;0;0;Retired
21.03.1972;44;Male;Long life deposit;01-0602-D-77768643;0;0;0;Workers
07.08.1955;61;Male;Long life deposit;01-0102-D-77723983;0;0;0;Retired
04.11.1969;47;Male;Long life deposit;01-0102-D-77726875;0;0;0;Workers
16.08.1929;87;Female;Long life deposit;01-0165-D-77768363;0;0;0;Retired
01.04.1951;65;Female;Long life deposit;01-0102-D-77749352;0;0;0;Retired
19.07.1954;62;Female;Long life deposit;01-0102-D-77749728;0;0;0;Retired
28.07.1953;63;Female;Long life deposit;01-0102-D-77753727;0;0;0;Retired
26.08.1950;66;Male;Long life deposit;01-0102-D-77748578;0;0;0;Retired
10.02.1956;61;Female;Long life deposit;01-0102-D-77711778;1;0;0;Retired
28.09.1949;67;Female;Long life deposit;01-0102-D-77714366;0;0;0;Retired
28.08.1940;76;Female;Long life deposit;01-0102-D-77717219;1;0;0;Retired
27.07.1963;53;Female;Long life deposit;01-0102-D-77718029;0;0;0;Workers
26.06.1975;41;Female;Long life deposit;01-0102-D-77734182;0;0;0;Workers
18.10.1960;56;Female;Long life deposit;01-0165-D-77751547;0;0;0;Retired
20.09.1951;65;Female;Long life deposit;01-4502-D-77700554;1;0;0;Retired
04.07.1965;51;Female;Long life deposit;01-0102-D-77707561;0;0;0;Workers
20.04.1951;65;Male;Long life deposit;01-0102-D-77714068;0;0;0;Retired
05.07.1977;39;Male;Long life deposit;01-0102-D-77727793;0;0;1;Workers
07.03.1951;65;Female;Long life deposit;01-0165-D-77754789;0;0;0;Retired
09.10.1958;58;Male;Long life deposit;01-0102-D-77749670;1;0;0;Workers
07.09.1941;75;Female;Long life deposit;01-0102-D-77723308;1;1;0;Retired
15.07.1955;61;Male;Long life deposit;01-0102-D-77746248;0;0;0;Retired
13.03.1947;69;Female;Long life deposit;01-0102-D-77722804;0;0;0;Retired
22.05.1955;61;Male;Long life deposit;01-0102-D-77752225;0;0;1;Retired
01.07.1948;68;Female;Long life deposit;01-0165-D-77753137;1;0;0;Retired
25.01.1949;68;Male;Long life deposit;01-0102-D-77711701;0;0;0;Retired
29.05.1966;50;Female;Long life deposit;01-0102-F-5324084;1;1;0;Workers
28.09.1946;70;Female;Long life deposit;01-0102-D-77719029;0;0;0;Retired
16.08.1945;71;Female;Long life deposit;01-0102-D-77731083;0;0;0;Retired
30.06.1949;67;Male;Long life deposit;01-0165-D-77753731;1;1;0;Retired
21.05.1958;58;Female;Long life deposit;01-0102-D-77721815;0;0;0;Retired
30.06.1947;69;Female;Long life deposit;01-0165-D-77755584;1;1;0;Retired
12.10.1954;62;Female;Long life deposit;01-4502-D-77715526;0;0;0;Retired
20.02.1957;60;Female;Long life deposit;01-0102-D-77773953;0;0;1;Retired
06.02.1945;72;Male;Long life deposit;01-0102-D-77716230;1;1;0;Retired
14.02.1976;41;Male;Long life deposit;01-4502-D-77702629;0;0;0;Workers
08.01.1956;61;Female;Long life deposit;01-0102-D-77717222;1;0;0;Retired
10.08.1952;64;Female;Long life deposit;01-0102-D-77748642;0;0;0;Retired
11.12.1961;55;Female;Long life deposit;01-0165-D-77769589;0;0;0;Retired
23.11.1969;47;Female;Long life deposit;01-0102-F-5319521;1;1;0;Workers
09.10.1957;59;Male;Long life deposit;01-0102-D-77715209;0;0;0;Workers
16.04.1952;64;Male;Long life deposit;01-0102-D-77748490;0;0;0;Retired
05.01.1953;64;Female;Long life deposit;01-0102-D-77751230;0;0;0;Retired
04.11.1941;75;Female;Long life deposit;01-0102-D-77711579;0;0;0;Retired
19.10.1951;65;Male;Long life deposit;01-0102-D-77749205;0;0;0;Retired
15.09.1952;64;Male;Long life deposit;01-0102-D-77720714;0;0;0;Retired
30.01.1953;64;Female;Long life deposit;01-0102-D-77708695;1;0;0;Retired
13.04.1958;58;Female;Long life deposit;01-0102-D-77721473;0;0;0;Retired
05.12.1950;66;Female;Long life deposit;01-0102-D-77711581;0;0;0;Retired
06.08.1949;67;Female;Long life deposit;01-0102-D-77724067;0;0;0;Retired
08.12.1948;68;Male;Long life deposit;01-0165-D-77776954;1;1;0;Retired
07.09.1945;71;Female;Long life deposit;01-0102-D-77773144;0;0;0;Retired
25.12.1941;75;Female;Long life deposit;01-0102-D-77778768;0;0;0;Retired
07.10.1986;30;Male;Long life deposit;01-0102-D-77762330;0;0;0;Workers
18.09.1953;63;Male;Long life deposit;01-0102-D-77700871;0;0;0;Retired
19.10.1976;40;Female;Long life deposit;01-0102-D-77723258;0;0;0;Workers
04.03.1955;61;Male;Long life deposit;01-0165-D-77751800;1;0;0;Retired
12.11.1955;61;Female;Long life deposit;01-0102-D-77712580;0;0;0;Retired
02.09.1954;62;Female;Long life deposit;01-0102-D-77711700;0;0;0;Retired
18.04.1948;68;Male;Long life deposit;01-0102-D-77751101;0;0;0;Retired
16.08.1945;71;Male;Long life deposit;01-0165-D-77725705;0;0;0;Retired
12.10.1941;75;Female;Long life deposit;01-0102-D-77717221;0;0;0;Retired
06.06.1941;75;Female;Long life deposit;01-0102-D-77718432;0;0;0;Retired
25.11.1955;61;Male;Long life deposit;01-4503-D-77720590;0;0;0;Retired
11.03.1957;59;Male;Long life deposit;01-0102-D-77720339;0;0;0;Workers
05.04.1937;79;Male;Long life deposit;01-0102-D-77742797;0;0;0;Retired
29.04.1944;72;Male;Long life deposit;01-0102-D-77749575;1;0;0;Premium
07.03.1971;45;Female;Long life deposit;01-0102-D-77780322;1;1;1;Workers
04.09.1938;78;Female;Long life deposit;01-0165-D-77789505;0;0;0;Retired
28.10.1991;25;Male;Long life deposit;01-0102-D-77715961;0;0;0;Workers
02.10.1951;65;Female;Long life deposit;01-4502-D-77701486;1;0;0;Retired
17.08.1957;59;Female;Long life deposit;01-0102-D-77710853;0;0;0;Retired
09.01.1965;52;Female;Long life deposit;01-0102-D-77773912;0;0;1;Workers
08.07.1953;63;Female;Long life deposit;01-0102-D-77711384;1;0;0;Retired
02.02.1952;65;Male;Long life deposit;01-0102-D-77712323;0;0;0;Retired
17.04.1939;77;Female;Long life deposit;01-0102-D-77727759;0;0;0;Retired
12.02.1943;74;Female;Long life deposit;01-0102-D-77723063;0;0;0;Retired
12.04.1951;65;Female;Long life deposit;01-0102-D-77724607;0;0;0;Retired
28.02.1976;41;Female;Long life deposit;01-0539-D-77739665;0;0;0;Workers
01.01.1961;56;Female;Long life deposit;01-0102-D-77739742;1;0;0;Retired
27.03.1961;55;Female;Long life deposit;01-0165-D-77750027;0;0;0;Retired
02.08.1955;61;Male;Long life deposit;01-0102-D-77786140;1;0;0;Retired
28.07.1953;63;Female;Long life deposit;01-0102-D-77711235;0;0;0;Retired
21.11.1957;59;Female;Long life deposit;01-0102-D-77719386;0;0;0;Retired
03.03.1947;70;Male;Long life deposit;01-0165-D-77753668;1;1;0;Retired
21.06.1955;61;Male;Long life deposit;01-0102-D-77771564;0;0;0;Retired
15.09.1950;66;Female;Long life deposit;01-0102-D-77725303;0;0;0;Retired
30.08.1956;60;Female;Long life deposit;01-0102-D-77783738;0;0;0;Retired
05.01.1936;81;Male;Long life deposit;01-0165-D-77793487;1;0;0;Retired
26.04.1949;67;Female;Long life deposit;01-0102-D-77748557;0;0;0;Retired
12.05.1954;62;Female;Long life deposit;01-0102-D-77750215;1;0;0;Retired
12.12.1953;63;Female;Long life deposit;01-0102-D-77710121;1;1;0;Retired
05.04.1948;68;Male;Long life deposit;01-0165-D-77754869;1;0;0;Retired
28.09.1954;62;Female;Long life deposit;01-0165-D-77768177;1;0;0;Retired
20.03.1957;59;Female;Long life deposit;01-0102-F-5321485;1;0;0;Retired
11.01.1958;59;Female;Long life deposit;01-0102-D-77753081;0;0;0;Retired
01.10.1956;60;Female;Long life deposit;01-0102-D-77724165;1;0;0;Retired
04.08.1949;67;Female;Long life deposit;01-0165-D-77743630;0;0;0;Retired
08.05.1956;60;Male;Long life deposit;01-0102-D-77751137;0;0;0;Retired
21.03.1972;44;Female;Long life deposit;01-0102-D-77742992;0;0;0;Workers
18.09.1955;61;Female;Long life deposit;01-0102-D-77748711;0;0;0;Retired
02.08.1937;79;Female;Long life deposit;01-0102-D-77722574;0;0;0;Retired
11.05.1947;69;Female;Long life deposit;01-0165-D-77778106;1;1;0;Retired
27.03.1955;61;Male;Long life deposit;01-0102-D-77731486;0;0;0;Retired
14.03.1946;70;Male;Long life deposit;01-4520-D-77781773;0;0;0;Retired
26.11.1950;66;Female;Long life deposit;01-0102-D-77716229;1;1;0;Retired
09.04.1953;63;Male;Long life deposit;01-0102-D-77724412;0;0;0;Retired
12.04.1977;39;Female;Long life deposit;01-0102-D-77715472;0;0;0;Workers
05.10.1952;64;Female;Long life deposit;01-0102-F-5324120;1;1;0;Retired
07.06.1956;60;Male;Long life deposit;01-0165-D-77755257;0;0;0;Retired
03.08.1954;62;Female;Long life deposit;01-0102-D-77772220;1;0;0;Retired
20.08.1975;41;Male;Long life deposit;01-0165-D-77775062;0;0;0;Premium
09.05.1957;59;Male;Long life deposit;01-0102-D-77715208;0;0;0;Workers
04.05.1985;31;Female;Long life deposit;01-0165-D-77725584;0;0;0;Workers
01.04.1955;61;Female;Long life deposit;01-0102-D-77746624;0;0;0;Retired
18.08.1947;69;Male;Long life deposit;01-0102-D-77722803;0;0;0;Retired
30.09.1929;87;Female;Long life deposit;01-0102-D-77741291;0;0;0;Retired
24.12.1947;69;Male;Long life deposit;01-0102-D-77748640;0;0;0;Retired
26.12.1949;67;Female;Long life deposit;01-0102-D-77742866;0;0;0;Retired
02.08.1951;65;Female;Long life deposit;01-0165-D-77743943;0;0;0;Retired
20.01.1955;62;Male;Long life deposit;01-0115-D-77756167;1;0;1;Retired
05.01.1953;64;Female;Long life deposit;01-4512-D-77791361;0;0;0;Retired
23.01.1985;32;Female;Long life deposit;01-0102-D-77705619;0;0;0;Workers
10.01.1951;66;Female;Long life deposit;01-0102-D-77743313;1;0;0;Retired
29.08.1939;77;Female;Long life deposit;01-0102-D-77759638;0;0;0;Retired
22.03.1957;59;Female;Long life deposit;01-0102-D-77757864;0;0;0;Retired
09.01.1942;75;Female;Long life deposit;01-0165-F-5330046;1;0;0;Retired
30.03.1950;66;Female;Long life deposit;01-0165-D-77774608;0;0;0;Retired
28.04.1957;59;Male;Long life deposit;01-0102-D-77715552;1;0;1;Workers
12.08.1951;65;Male;Long life deposit;01-0102-D-77748598;1;0;0;Retired
08.01.1977;40;Female;Long life deposit;01-0165-D-77737497;0;0;0;Workers
19.01.1946;71;Male;Long life deposit;01-0165-D-77724710;0;0;0;Retired
16.12.1950;66;Male;Long life deposit;01-0102-D-77717920;0;0;0;Retired
14.01.1948;69;Female;Long life deposit;01-4502-D-77720350;1;1;0;Retired
18.11.1967;49;Female;Long life deposit;01-0102-D-77721081;1;0;0;Workers
15.08.1961;55;Female;Long life deposit;01-0165-D-77773764;1;0;0;Retired
20.01.1955;62;Male;Long life deposit;01-0102-D-77748667;1;0;0;Retired
07.06.1959;57;Female;Long life deposit;01-0165-D-77766203;0;0;0;Retired
18.05.1956;60;Female;Long life deposit;01-0102-D-77713619;0;0;0;Retired
02.05.1958;58;Female;Long life deposit;01-0102-D-77752737;0;0;0;Retired
01.04.1955;61;Male;Long life deposit;01-0000-D-77748123;0;0;0;Retired
12.11.1958;58;Female;Long life deposit;01-0102-D-77751487;0;0;0;Retired
22.08.1948;68;Female;Long life deposit;01-0165-D-77775326;0;0;0;Retired
22.08.1955;61;Female;Long life deposit;01-0102-D-77747505;0;0;1;Retired
27.03.1973;43;Male;Long life deposit;01-0165-D-77742812;0;0;0;Workers
18.06.1952;64;Female;Long life deposit;01-0165-D-77755010;0;0;0;Retired
01.01.1939;78;Male;Long life deposit;01-0165-D-77763608;0;0;0;Retired
17.12.1955;61;Female;Long life deposit;01-0102-D-77731513;1;0;1;Retired
24.11.1945;71;Male;Long life deposit;01-0102-D-77748560;1;0;0;Retired
10.09.1984;32;Female;Long life deposit;01-0102-D-77742622;0;0;0;Workers
05.05.1960;56;Male;Long life deposit;01-0102-D-77742718;0;0;0;Workers
12.05.1982;34;Female;Long life deposit;01-0102-D-77750264;0;0;0;Workers
03.01.1972;45;Male;Long life deposit;01-0165-D-77751241;0;0;0;Workers
26.05.1960;56;Female;Long life deposit;01-0165-D-77771490;0;0;0;Retired
27.11.1951;65;Female;Long life deposit;01-0102-D-77716480;0;0;0;Retired
28.01.1957;60;Male;Long life deposit;01-0102-D-77784787;0;0;0;Retired
18.12.1953;63;Female;Long life deposit;01-0165-D-77747740;1;1;0;Retired
21.05.1952;64;Male;Long life deposit;01-0102-F-5320029;1;0;0;Retired
26.08.1943;73;Male;Long life deposit;01-0102-D-77723002;0;0;0;Retired
20.11.1960;56;Female;Long life deposit;01-0102-D-77753963;1;1;0;Retired
26.10.1947;69;Female;Long life deposit;01-0102-D-77748473;1;0;0;Retired
03.01.1959;58;Male;Long life deposit;01-0165-D-77745577;1;1;0;Workers
28.04.1950;66;Female;Long life deposit;01-0102-D-77745619;0;0;0;Retired
24.06.1951;65;Female;Long life deposit;01-0102-D-77771181;1;0;0;Retired
29.12.1954;62;Female;Long life deposit;01-0165-D-77753548;0;0;0;Retired
11.10.1947;69;Female;Long life deposit;01-0102-D-77748990;1;0;0;Retired
15.07.1959;57;Female;Long life deposit;01-0165-D-77760362;0;0;1;Retired
12.06.1955;61;Female;Long life deposit;01-0102-F-5324478;1;0;0;Retired
12.07.1949;67;Male;Long life deposit;01-0102-D-77749072;0;0;0;Retired
26.03.1965;51;Female;Long life deposit;01-0102-D-77742726;0;0;0;Workers
05.01.1947;70;Male;Long life deposit;01-0102-D-77742945;0;0;0;Retired
20.12.1955;61;Male;Long life deposit;01-0102-D-77747362;1;0;0;Retired
04.05.1934;82;Female;Long life deposit;01-0165-D-77749979;0;0;0;Retired
17.10.1956;60;Female;Long life deposit;01-0165-D-77753231;0;0;0;Retired
26.05.1949;67;Male;Long life deposit;01-0102-D-77781876;0;0;0;Retired
05.07.1954;62;Male;Long life deposit;01-0102-F-5347154;1;0;0;Retired
10.09.1946;70;Female;Long life deposit;01-0102-D-77781981;1;0;0;Retired
19.11.1957;59;Female;Long life deposit;01-0102-D-77775762;1;1;0;Retired
16.10.1997;19;Male;Long life deposit;01-0165-D-77756096;0;0;0;Students
03.01.1943;74;Male;Long life deposit;01-0165-D-77787321;0;0;0;Retired
30.03.1962;54;Female;Long life deposit;01-0102-D-77743152;0;0;0;Workers
31.03.1955;61;Female;Long life deposit;01-0102-D-77714446;0;0;0;Retired
04.11.1953;63;Female;Long life deposit;01-0102-D-77744738;1;0;0;Retired
07.12.1963;53;Female;Long life deposit;01-0165-D-77754344;0;0;0;Workers
